content_id,date,platform,content_type,topic
P001,2023-06-01,Instagram,Reels,Math Tips
P002,2023-06-03,TikTok,Video,Math Tips
P003,2023-06-05,Instagram,Carousel,English Grammar
P004,2023-06-07,YouTube,Video,Science Experiment
P005,2023-06-10,TikTok,Video,English Tips
P006,2023-06-12,Instagram,Reels,Science Facts
P007,2023-06-15,YouTube,Video,Math Tutorial
P008,2023-06-17,TikTok,Video,Study Tips
P009,2023-06-20,Instagram,Carousel,Study Tips
P010,2023-06-22,YouTube,Video,English Tips
P011,2023-07-01,Instagram,Reels,Math Tips
P012,2023-07-03,TikTok,Video,Science Facts
P013,2023-07-05,Instagram,Carousel,Study Tips
P014,2023-07-08,YouTube,Video,Math Tutorial
P015,2023-07-10,TikTok,Video,Math Tips
P016,2023-07-12,Instagram,Reels,English Tips
P017,2023-07-15,YouTube,Video,Science Experiment
P018,2023-07-18,TikTok,Video,English Grammar
P019,2023-07-20,Instagram,Carousel,Math Tips
P020,2023-07-22,YouTube,Video,Study Tips
P021,2023-08-01,Instagram,Reels,Science Facts
P022,2023-08-03,TikTok,Video,Math Tips
P023,2023-08-05,Instagram,Carousel,English Tips
P024,2023-08-08,YouTube,Video,Study Tips
P025,2023-08-10,TikTok,Video,Science Experiment